rownum,notified_date,province_of_isolation,count
0,01-03-22,กระบี่,154
1,01-03-22,กรุงเทพมหานคร,3054
2,01-03-22,กาญจนบุรี,265
3,01-03-22,กาฬสินธุ์,240
4,01-03-22,กำแพงเพชร,159
5,01-03-22,ขอนแก่น,428
6,01-03-22,จันทบุรี,225
7,01-03-22,ฉะเชิงเทรา,487
8,01-03-22,ชลบุรี,1144
9,01-03-22,ชัยนาท,126
10,01-03-22,ชัยภูมิ,275
11,01-03-22,ชุมพร,248
12,01-03-22,ตรัง,133
13,01-03-22,ตราด,57
14,01-03-22,ตาก,142
15,01-03-22,นครนายก,218
16,01-03-22,นครปฐม,349
17,01-03-22,นครพนม,135
18,01-03-22,นครราชสีมา,611
19,01-03-22,นครศรีธรรมราช,634
20,01-03-22,นครสวรรค์,224
21,01-03-22,นนทบุรี,682
22,01-03-22,นราธิวาส,130
23,01-03-22,น่าน,79
24,01-03-22,บึงกาฬ,47
25,01-03-22,บุรีรัมย์,503
26,01-03-22,ปทุมธานี,486
27,01-03-22,ประจวบคีรีขันธ์,226
28,01-03-22,ปราจีนบุรี,300
29,01-03-22,ปัตตานี,194
30,01-03-22,พระนครศรีอยุธยา,492
31,01-03-22,พะเยา,39
32,01-03-22,พังงา,79
33,01-03-22,พัทลุง,134
34,01-03-22,พิจิตร,66
35,01-03-22,พิษณุโลก,184
36,01-03-22,ภูเก็ต,770
37,01-03-22,มหาสารคาม,203
38,01-03-22,มุกดาหาร,29
39,01-03-22,ยะลา,201
40,01-03-22,ยโสธร,137
41,01-03-22,ระนอง,97
42,01-03-22,ระยอง,432
43,01-03-22,ราชบุรี,657
44,01-03-22,ร้อยเอ็ด,288
45,01-03-22,ลพบุรี,179
46,01-03-22,ลำปาง,34
47,01-03-22,ลำพูน,6
48,01-03-22,ศรีสะเกษ,198
49,01-03-22,สกลนคร,107
50,01-03-22,สงขลา,269
51,01-03-22,สตูล,184
52,01-03-22,สมุทรปราการ,988
53,01-03-22,สมุทรสงคราม,153
54,01-03-22,สมุทรสาคร,678
55,01-03-22,สระบุรี,385
56,01-03-22,สระแก้ว,201
57,01-03-22,สิงห์บุรี,30
58,01-03-22,สุพรรณบุรี,443
59,01-03-22,สุราษฎร์ธานี,193
60,01-03-22,สุรินทร์,262
61,01-03-22,สุโขทัย,214
62,01-03-22,หนองคาย,193
63,01-03-22,หนองบัวลำภู,111
64,01-03-22,อำนาจเจริญ,69
65,01-03-22,อุดรธานี,169
66,01-03-22,อุตรดิตถ์,180
67,01-03-22,อุทัยธานี,62
68,01-03-22,อุบลราชธานี,230
69,01-03-22,อ่างทอง,92
70,01-03-22,เชียงราย,59
71,01-03-22,เชียงใหม่,279
72,01-03-22,เพชรบุรี,166
73,01-03-22,เพชรบูรณ์,153
74,01-03-22,เลย,97
75,01-03-22,แพร่,29
76,01-03-22,แม่ฮ่องสอน,21
77,02-03-22,กระบี่,173
78,02-03-22,กรุงเทพมหานคร,2810
79,02-03-22,กาญจนบุรี,177
80,02-03-22,กาฬสินธุ์,221
81,02-03-22,กำแพงเพชร,190
82,02-03-22,ขอนแก่น,502
83,02-03-22,จันทบุรี,145
84,02-03-22,ฉะเชิงเทรา,523
85,02-03-22,ชลบุรี,1236
86,02-03-22,ชัยนาท,94
87,02-03-22,ชัยภูมิ,204
88,02-03-22,ชุมพร,92
89,02-03-22,ตรัง,162
90,02-03-22,ตราด,57
91,02-03-22,ตาก,257
92,02-03-22,นครนายก,135
93,02-03-22,นครปฐม,453
94,02-03-22,นครพนม,120
95,02-03-22,นครราชสีมา,510
96,02-03-22,นครศรีธรรมราช,965
97,02-03-22,นครสวรรค์,206
98,02-03-22,นนทบุรี,739
99,02-03-22,นราธิวาส,136
100,02-03-22,น่าน,77
101,02-03-22,บึงกาฬ,90
102,02-03-22,บุรีรัมย์,548
103,02-03-22,ปทุมธานี,495
104,02-03-22,ประจวบคีรีขันธ์,331
105,02-03-22,ปราจีนบุรี,424
106,02-03-22,ปัตตานี,281
107,02-03-22,พระนครศรีอยุธยา,504
108,02-03-22,พะเยา,25
109,02-03-22,พังงา,98
110,02-03-22,พัทลุง,221
111,02-03-22,พิจิตร,142
112,02-03-22,พิษณุโลก,197
113,02-03-22,ภูเก็ต,748
114,02-03-22,มหาสารคาม,175
115,02-03-22,มุกดาหาร,54
116,02-03-22,ยะลา,346
117,02-03-22,ยโสธร,138
118,02-03-22,ระนอง,145
119,02-03-22,ระยอง,754
120,02-03-22,ราชบุรี,664
121,02-03-22,ร้อยเอ็ด,344
122,02-03-22,ลพบุรี,182
123,02-03-22,ลำปาง,95
124,02-03-22,ลำพูน,10
125,02-03-22,ศรีสะเกษ,199
126,02-03-22,สกลนคร,133
127,02-03-22,สงขลา,249
128,02-03-22,สตูล,145
129,02-03-22,สมุทรปราการ,959
130,02-03-22,สมุทรสงคราม,244
131,02-03-22,สมุทรสาคร,704
132,02-03-22,สระบุรี,322
133,02-03-22,สระแก้ว,185
134,02-03-22,สิงห์บุรี,75
135,02-03-22,สุพรรณบุรี,455
136,02-03-22,สุราษฎร์ธานี,240
137,02-03-22,สุรินทร์,225
138,02-03-22,สุโขทัย,101
139,02-03-22,หนองคาย,275
140,02-03-22,หนองบัวลำภู,68
141,02-03-22,อำนาจเจริญ,56
142,02-03-22,อุดรธานี,170
143,02-03-22,อุตรดิตถ์,140
144,02-03-22,อุทัยธานี,97
145,02-03-22,อุบลราชธานี,227
146,02-03-22,อ่างทอง,196
147,02-03-22,เชียงราย,73
148,02-03-22,เชียงใหม่,268
