"","dcode","dname","month","wasteamt"
"1",1033,"คลองเตย","10-2017",9273.45
"2",1018,"คลองสาน","10-2017",3953.14
"3",1046,"คลองสามวา","10-2017",6536.56
"4",1043,"คันนายาว","10-2017",4562.05
"5",1030,"จตุจักร","10-2017",13190.9
"6",1035,"จอมทอง","10-2017",6265.85
"7",1036,"ดอนเมือง","10-2017",6486.68
"8",1026,"ดินแดง","10-2017",9296.14
"9",1002,"ดุสิต","10-2017",5203.13
"10",1019,"ตลิ่งชัน","10-2017",4693.45
"11",1048,"ทวีวัฒนา","10-2017",3286.79
"12",1049,"ทุ่งครุ","10-2017",4632.61
"13",1015,"ธนบุรี","10-2017",5207.07
"14",1020,"บางกอกน้อย","10-2017",6213.54
"15",1016,"บางกอกใหญ่","10-2017",2507.14
"16",1006,"บางกะปิ","10-2017",10538.4
"17",1021,"บางขุนเทียน","10-2017",10956.2
"18",1005,"บางเขน","10-2017",9626.36
"19",1031,"บางคอแหลม","10-2017",4324.86
"20",1040,"บางแค","10-2017",9491.53
"21",1029,"บางซื่อ","10-2017",5192.49
"22",1047,"บางนา","10-2017",7069.26
"23",1050,"บางบอน","10-2017",7226.66
"24",1025,"บางพลัด","10-2017",5088.45
"25",1004,"บางรัก","10-2017",5159.71
"26",1027,"บึงกุ่ม","10-2017",6383.77
"27",1007,"ปทุมวัน","10-2017",9273.48
"28",1032,"ประเวศ","10-2017",9264.9
"29",1008,"ป้อมปราบศัตรูพ่าย","10-2017",2642.59
"30",1014,"พญาไท","10-2017",5296.59
"31",1009,"พระโขนง","10-2017",4563.04
"32",1001,"พระนคร","10-2017",6805.22
"33",1022,"ภาษีเจริญ","10-2017",5257
"34",1010,"มีนบุรี","10-2017",5797.5
"35",1012,"ยานนาวา","10-2017",5862.79
"36",1037,"ราชเทวี","10-2017",6551.77
"37",1024,"ราษฎร์บูรณะ","10-2017",3677.89
"38",1011,"ลาดกระบัง","10-2017",8852.44
"39",1038,"ลาดพร้าว","10-2017",6657.93
"40",1045,"วังทองหลาง","10-2017",7061.8
"41",1039,"วัฒนา","10-2017",8715.1
"42",1034,"สวนหลวง","10-2017",7142.6
"43",1044,"สะพานสูง","10-2017",3884.6
"44",1013,"สัมพันธวงศ์","10-2017",1784.02
"45",1028,"สาทร","10-2017",5646.62
"46",1042,"สายไหม","10-2017",7319.78
"47",1023,"หนองแขม","10-2017",5533.07
"48",1003,"หนองจอก","10-2017",4169.56
"49",1041,"หลักสี่","10-2017",5644.96
"50",1017,"ห้วยขวาง","10-2017",6834.21
"51",1000,"อื่นๆ","10-2017",18217.05
"52",1033,"คลองเตย","11-2017",8864.92
"53",1018,"คลองสาน","11-2017",3741.27
"54",1046,"คลองสามวา","11-2017",6020.13
"55",1043,"คันนายาว","11-2017",4257.13
"56",1030,"จตุจักร","11-2017",12824.3
"57",1035,"จอมทอง","11-2017",6034.12
"58",1036,"ดอนเมือง","11-2017",6140.07
"59",1026,"ดินแดง","11-2017",8554.03
"60",1002,"ดุสิต","11-2017",5172.06
"61",1019,"ตลิ่งชัน","11-2017",4368.31
"62",1048,"ทวีวัฒนา","11-2017",3153.07
"63",1049,"ทุ่งครุ","11-2017",4161.68
"64",1015,"ธนบุรี","11-2017",4860.21
"65",1020,"บางกอกน้อย","11-2017",5103.47
"66",1016,"บางกอกใหญ่","11-2017",2319.97
"67",1006,"บางกะปิ","11-2017",9990.66
"68",1021,"บางขุนเทียน","11-2017",9952.36
"69",1005,"บางเขน","11-2017",8959.74
"70",1031,"บางคอแหลม","11-2017",4057.93
"71",1040,"บางแค","11-2017",8502.87
"72",1029,"บางซื่อ","11-2017",4854.27
"73",1047,"บางนา","11-2017",6823.96
"74",1050,"บางบอน","11-2017",6643.54
"75",1025,"บางพลัด","11-2017",4646.63
"76",1004,"บางรัก","11-2017",4703.67
"77",1027,"บึงกุ่ม","11-2017",5976.05
"78",1007,"ปทุมวัน","11-2017",9269.48
"79",1032,"ประเวศ","11-2017",8298.3
